50 0.498 0.612 1.196
100 0.580 0.650 0.690
150 0.605 0.684 0.723
200 0.641 0.717 0.744
250 0.647 0.736 0.771
300 0.715 0.762 0.800
350 0.730 0.793 0.832
400 0.737 0.817 0.844
450 0.778 0.855 0.885
500 0.765 0.890 0.924
550 0.857 0.927 0.975
600 0.899 0.966 1.011
650 0.915 1.004 1.046
700 0.970 1.040 1.077
750 1.012 1.101 1.834
800 1.067 1.121 1.155
850 1.101 1.165 1.223
900 1.137 1.196 1.233
950 1.183 1.242 1.289
1000 1.217 1.271 1.335
1050 1.222 1.301 1.348
1100 1.245 1.338 1.398
1150 1.325 1.390 1.431
1200 1.337 1.422 1.493
1250 1.387 1.480 2.323
1300 1.372 1.504 1.544
1350 1.472 1.536 1.578
1400 1.514 1.578 1.613
1450 1.550 1.617 1.661
1490 1.553 1.619 1.661
1640 1.569 1.624 1.827
1790 1.570 1.632 1.878
1940 1.591 1.667 2.154
2090 1.606 1.786 2.196
2240 1.610 2.096 2.270
2390 1.925 2.216 2.279
2540 2.130 2.229 2.298
2690 2.163 2.236 2.327
2840 2.129 2.248 2.314
2990 2.134 2.270 2.341
3000 2.164 2.297 3.703
3200 2.109 2.281 2.708
3400 2.133 2.270 2.329
3600 2.151 2.264 2.328
3800 2.153 2.291 3.389
4000 2.009 2.212 2.344
4200 2.066 2.232 2.347
4400 2.072 2.236 2.314
4600 2.175 2.269 2.421
4800 2.219 2.281 2.481
5000 2.194 2.282 2.523
5200 2.160 2.278 2.484
5400 2.225 2.294 2.602
5600 2.244 2.362 2.808
5800 2.263 2.579 2.895
6000 2.432 2.841 2.928
6200 2.658 2.864 2.958
6400 2.732 2.876 2.923
6600 2.738 2.875 2.994
6800 2.688 2.860 2.952
7000 2.666 2.881 3.023
7000 2.686 2.864 2.989
7300 2.670 2.863 2.954
7600 2.785 2.886 3.001
7900 2.764 2.866 2.979
8200 2.763 2.876 2.986
8500 2.769 2.917 3.200
8800 2.836 2.935 3.900
9100 2.846 2.957 3.384
9400 2.893 3.229 3.488
9700 3.137 3.447 4.077
10000 3.227 3.399 3.525
