18 1982.78
68 2301.88
118 2576.77
168 2730.20
218 2811.36
268 2871.79
318 2932.01
368 2956.21
418 3028.06
468 3011.90
518 3053.72
568 3081.11
618 3131.95
668 3105.37
718 3117.61
768 3134.41
818 3147.30
868 3142.73
918 3160.33
968 3169.60
1018 3175.70
1068 3179.03
1118 3185.32
1168 3189.03
1218 3206.04
1268 3197.58
1318 3206.54
1368 3209.93
1418 3213.53
1468 3214.78
1490 10528.20
1640 9661.21
1790 10438.53
1940 10379.90
2090 10380.74
2240 10295.14
2390 10368.94
2540 10350.46
2690 10552.81
2840 10328.19
2990 9639.94
3000 9833.64
3200 9963.77
3400 10226.60
3600 10202.95
3800 10154.52
4000 10198.12
4200 10217.33
4400 10223.62
4600 9805.51
4800 10106.87
5000 10117.82
5200 10122.11
5400 10141.91
5600 10136.34
5800 10136.41
6000 9720.47
6200 10047.62
6400 10047.59
6600 10082.28
6800 10078.57
7000 10122.80
