20 0.555 0.575 0.602
320 0.681 0.748 0.771
620 0.880 0.955 0.998
920 1.129 1.191 1.227
1220 1.362 1.423 1.458
1520 1.518 1.661 2.562
1820 1.558 1.621 1.841
2120 1.579 1.857 2.186
2420 1.907 2.171 2.234
2720 2.099 2.204 2.245
3020 2.117 2.251 2.987
3320 2.137 2.239 2.272
3620 2.137 2.237 2.281
3920 2.080 2.214 2.262
4220 2.118 2.221 2.293
4520 2.115 2.276 3.116
4820 2.187 2.251 2.421
5120 2.176 2.266 2.481
5420 2.216 2.446 2.756
5720 2.510 2.614 2.865
6020 2.641 2.765 2.868
6320 2.573 2.758 2.870
6620 2.660 2.819 2.920
6920 2.636 2.822 2.915
7220 2.653 2.833 2.920
7520 2.765 2.848 2.927
7820 2.696 2.828 2.908
8120 2.739 2.848 3.215
8420 2.759 2.853 3.032
8720 2.797 2.860 3.108
9020 2.867 3.194 3.421
9320 3.124 3.228 3.801
9620 3.131 3.381 3.476
9920 3.193 3.355 3.478
10220 3.198 3.357 3.454
10520 3.342 3.444 3.477
10820 3.312 3.426 3.479
11120 3.306 3.440 3.523
11420 3.275 3.423 3.470
11720 3.324 3.421 3.470
12020 3.395 3.535 4.428
12320 3.459 3.700 3.935
12620 3.693 3.787 4.064
12920 3.695 3.805 4.017
13220 3.721 3.864 4.077
13520 3.762 3.973 4.089
13820 3.807 3.990 4.083
14120 3.864 4.002 4.080
14420 3.890 4.025 4.107
14720 3.860 4.062 5.145
15020 3.877 4.037 4.157
15320 3.904 4.042 4.265
15620 3.978 4.233 4.475
15920 4.074 4.347 4.566
16220 4.269 4.398 4.715
16520 4.172 4.418 4.679
16820 4.326 4.481 4.662
17120 4.431 4.576 4.699
17420 4.423 4.578 4.848
17720 4.403 4.571 4.722
18020 4.474 4.631 4.693
18320 4.540 4.646 4.762
18620 4.485 4.831 11.090
18920 4.558 4.664 4.916
19220 4.564 4.872 4.963
19520 4.866 4.948 5.123
19820 4.885 5.059 6.117
20120 4.896 5.042 5.227
20420 4.771 5.049 5.254
20720 4.932 5.202 5.323
21020 4.969 5.185 5.288
21320 4.983 5.136 5.292
21620 5.007 5.140 5.292
21920 4.987 5.147 5.310
22220 5.079 5.253 5.575
22520 5.040 5.400 5.667
22820 5.219 5.556 6.159
23120 5.492 5.576 5.828
23420 5.444 5.618 5.780
23720 5.491 5.580 5.772
24020 5.519 5.669 6.226
24320 5.523 5.683 5.908
24620 5.570 5.746 5.881
24920 5.586 5.794 5.877
25220 5.708 5.824 5.890
25520 5.636 5.827 6.022
25820 5.714 5.965 6.242
26120 5.871 6.091 6.242
26420 6.015 6.186 6.343
26720 6.073 6.150 6.336
27020 6.073 6.154 6.338
27320 6.085 6.271 8.538
27620 6.105 6.191 6.421
27920 6.099 6.243 6.490
28220 6.205 6.398 6.500
28520 6.209 6.397 6.524
28820 6.180 6.398 6.510
29120 6.294 6.440 6.728
29420 6.332 6.619 6.763
29720 6.362 6.704 6.916
30020 6.602 6.774 7.742
30320 6.648 6.770 6.903
30620 6.619 6.795 6.955
30920 6.654 6.777 6.986
31220 6.689 6.918 7.986
31520 6.716 6.858 7.006
31820 6.729 6.975 7.096
32120 6.839 6.994 7.086
32420 6.797 7.026 7.346
32720 6.871 7.235 7.708
33020 7.101 7.319 7.430
33320 6.962 7.321 7.470
33620 7.222 7.348 7.492
33920 7.231 7.354 7.513
34220 7.265 7.373 7.533
34520 7.265 7.375 7.546
34820 7.322 7.389 7.592
35120 7.297 7.462 7.767
35420 7.326 7.547 7.811
35720 7.439 7.613 7.899
36020 7.423 7.753 8.834
36320 7.656 7.836 7.959
36620 7.634 7.851 7.994
36920 7.767 7.928 8.066
37220 7.803 7.945 8.092
37520 7.836 7.951 8.076
37820 7.833 7.990 8.172
38120 7.797 7.987 8.203
38420 7.859 8.024 8.211
38720 7.918 8.078 8.229
39020 7.945 8.144 8.399
39320 8.002 8.231 8.539
39620 8.064 8.340 8.563
39920 8.098 8.477 9.392
40220 8.258 8.474 8.599
40520 8.331 8.501 8.649
40820 8.370 8.533 8.680
41120 8.381 8.636 9.768
41420 8.424 8.543 8.678
41720 8.515 8.629 8.769
42020 8.493 8.653 9.508
42320 8.498 8.622 8.829
42620 8.534 8.722 9.094
42920 8.579 8.844 9.140
43220 8.797 9.158 10.147
43520 8.699 9.044 9.223
43820 8.920 9.088 9.218
44120 8.960 9.110 9.260
44420 8.994 9.114 9.330
44720 8.998 9.139 9.365
45020 9.043 9.153 9.353
45320 9.045 9.219 9.367
45620 9.052 9.234 9.379
45920 9.101 9.271 9.500
46220 9.129 9.338 9.692
46520 9.175 9.561 9.761
46820 9.558 9.695 9.802
47120 9.494 9.664 9.795
47420 9.564 9.676 9.786
47720 9.593 9.695 9.823
48020 9.558 9.744 10.630
48320 9.597 9.761 9.910
48620 9.579 9.792 9.949
48920 9.621 9.798 9.970
49220 9.715 10.038 11.194
49520 9.637 9.870 10.206
49820 9.635 9.957 10.240
