     Bytes  Real s   CPU s Real-MBit/s  CPU-MBit/s   Calls  Real-C/s   CPU-C/s
l 20480000   18.03    0.37      9.0872    447.2763   14143    784.42   38609.8
1 20480000   17.66    0.02      9.2761   9465.5959    5000    283.08  288867.1
