     Bytes  Real s   CPU s Real-MBit/s  CPU-MBit/s   Calls  Real-C/s   CPU-C/s
l 20480000   27.81    0.03      5.8920   5277.8404    5000    179.81  161066.9
1 20480000   27.94    0.38      5.8630    431.4826   14145    506.18   37251.7
